Zeolite_13X,Pressure_N2 (kPa),Uptake_N2 (mol/kg),Pressure_H2 (kPa),Uptake_H2 (mol/kg),,Activated carbon,Pressure_N2 (kPa),Uptake_N2 (mol/kg),Pressure_H2 (kPa),Uptake_H2 (mol/kg),,Zeolite 5A,Pressure_N2 (kPa),Uptake_N2 (mol/kg),Pressure_H2 (kPa),Uptake_H2 (mol/kg)
,0.972,0.004,0.693,0,,,99.3,0.062,9.75,0.05,,,122.149,0.246,171.71,0.036
,7.245,0.028,7.667,0.002,,,102,0.063,18.8,0.095,,,235.057,0.487,323.131,0.069
,13.6,0.053,14.43,0.003,,,135,0.079,28,0.139,,,333.933,0.652,554.432,0.1
,19.74,0.076,20.96,0.004,,,169,0.095,37.1,0.18,,,446.69,0.799,727.135,0.13
,26,0.099,27.49,0.006,,,202,0.111,46.2,0.22,,,543.487,0.939,984.796,0.162
,32.14,0.121,33.8,0.007,,,235,0.126,55.4,0.259,,,693.43,1.09,1229.894,0.189
,38.19,0.143,40.07,0.009,,,269,0.142,64.6,0.296,,,857.928,1.217,1457.846,0.217
,44.14,0.164,46.01,0.01,,,302,0.157,73.6,0.332,,,1045.339,1.337,1692.801,0.244
,49.94,0.184,52.15,0.011,,,336,0.171,82.7,0.366,,,1212.184,1.457,1849.863,0.265
,55.83,0.204,57.92,0.012,,,370,0.186,91.5,0.399,,,1367.507,1.589,,
,61.87,0.224,63.61,0.014,,,403,0.202,99.2,0.425,,,1537.275,1.669,,
,67.63,0.243,68.64,0.015,,,437,0.217,103,0.439,,,1707.392,1.742,,
,73.22,0.261,74.27,0.016,,,471,0.231,128,0.52,,,,,,
,78.86,0.279,78.97,0.017,,,505,0.247,153,0.599,,,,,,
,84.56,0.296,83.58,0.018,,,538,0.261,178,0.674,,,,,,
,89.98,0.313,88.06,0.019,,,572,0.276,204,0.745,,,,,,
,95.36,0.33,92.62,0.02,,,606,0.29,230,0.815,,,,,,
,99.83,0.349,96.65,0.02,,,640,0.304,256,0.881,,,,,,
,104.4,0.362,99.29,0.021,,,673,0.319,283,0.945,,,,,,
,133.8,0.445,102.2,0.022,,,707,0.332,310,1.007,,,,,,
,163.6,0.527,136.1,0.029,,,741,0.347,337,1.066,,,,,,
,193.6,0.602,170.1,0.037,,,774,0.36,365,1.123,,,,,,
,223.8,0.672,204.3,0.044,,,808,0.374,421,1.231,,,,,,
,254.2,0.74,238,0.052,,,842,0.387,450,1.282,,,,,,
,285,0.804,272.1,0.059,,,876,0.401,478,1.332,,,,,,
,316,0.868,306.2,0.066,,,909,0.415,507,1.381,,,,,,
,347,0.928,340.2,0.074,,,,,536,1.428,,,,,,
,378.2,0.983,374.2,0.082,,,,,565,1.474,,,,,,
,409.4,1.04,408.1,0.089,,,,,595,1.518,,,,,,
,441.1,1.09,442.1,0.095,,,,,624,1.561,,,,,,
,472.9,1.14,476.1,0.102,,,,,654,1.602,,,,,,
,504.7,1.19,510.2,0.109,,,,,684,1.644,,,,,,
,536.5,1.23,544.1,0.116,,,,,713,1.682,,,,,,
,568.6,1.28,578.3,0.124,,,,,744,1.721,,,,,,
,600.5,1.32,612.3,0.132,,,,,774,1.758,,,,,,
,632.8,1.36,646.3,0.139,,,,,804,1.794,,,,,,
,665.2,1.4,680.3,0.145,,,,,834,1.831,,,,,,
,697.5,1.44,714.3,0.152,,,,,865,1.865,,,,,,
,730.1,1.47,748.2,0.16,,,,,895,1.899,,,,,,
,762.7,1.51,782.5,0.167,,,,,926,1.932,,,,,,
,795.2,1.54,816.5,0.174,,,,,956,1.964,,,,,,
,827.6,1.58,850.5,0.181,,,,,987,1.996,,,,,,
,860.4,1.61,884.5,0.187,,,,,"1,018",2.026,,,,,,
,893.1,1.64,918.5,0.194,,,,,,,,,,,,
,925.8,1.67,952.3,0.201,,,,,,,,,,,,
,958.7,1.7,986.2,0.209,,,,,,,,,,,,
,991.4,1.73,1020,0.216,,,,,,,,,,,,
,1024,1.75,,,,,,,,,,,,,,
